,valor_real,latitude,longitude,valor_previsto,diferenca,porcentagem,categoria_desconto
1,286800.0,33.63,-117.7,311434.99999999994,-24634.99999999994,-7.910157817843193,Desconto ok
6,190100.0,34.96,-120.41,253770.0,-63670.0,-25.08964810655318,Desconto muito alto
8,175800.0,33.87,-117.96,212914.99999999997,-37114.99999999997,-17.43183899678274,Desconto muito alto
9,209100.0,37.37,-121.83,226220.0,-17120.0,-7.5678543011228,Desconto ok
13,52600.0,36.72,-119.82,71505.00000000001,-18905.000000000015,-26.438710579679757,Desconto muito alto
15,79000.0,40.69,-124.27,174075.0,-95075.0,-54.617262674134714,Desconto muito alto
18,109900.0,32.7,-117.03,140835.0,-30935.0,-21.965420527567723,Desconto muito alto
20,232200.0,37.89,-122.29,330915.0,-98715.0,-29.830923348896242,Desconto muito alto
21,138300.0,33.68,-116.42,146244.99999999997,-7944.999999999971,-5.432664364593642,Desconto ok
26,107900.0,37.75,-122.16,142275.00000000003,-34375.00000000003,-24.160955895273254,Desconto muito alto
27,117200.0,33.97,-118.24,144660.00000000003,-27460.00000000003,-18.982441587169934,Desconto muito alto
28,98600.0,33.98,-116.9,109195.0,-10595.0,-9.702825220935024,Desconto ok
30,227900.0,34.0,-117.85,254370.0,-26470.0,-10.406101348429452,Desconto bom
32,148900.0,37.98,-122.03,266720.0,-117820.0,-44.17366526694661,Desconto muito alto
41,74200.0,37.43,-121.11,97910.0,-23710.0,-24.216116841997753,Desconto muito alto
44,60900.00000000001,38.61,-121.46,86815.0,-25914.999999999993,-29.850832229453427,Desconto muito alto
45,192600.0,37.32,-121.92,213335.0,-20735.0,-9.719455316755338,Desconto ok
49,190300.0,33.79,-117.88,232880.0,-42580.0,-18.284094812779113,Desconto muito alto
50,157200.0,34.28,-117.36,179175.0,-21975.0,-12.264545835077438,Desconto bom
51,90000.0,33.94,-118.24,108225.0,-18225.0,-16.839916839916842,Desconto muito alto
52,66000.0,36.86,-120.45,81470.0,-15470.0,-18.988584755124585,Desconto muito alto
54,136600.0,33.89,-117.23,150274.99999999997,-13674.99999999997,-9.099983363832957,Desconto ok
55,197400.0,33.82,-117.96,219695.00000000003,-22295.00000000003,-10.148159949020243,Desconto bom
57,90900.0,33.96,-118.27,115680.0,-24780.0,-21.42116182572614,Desconto muito alto
59,239100.0,34.09,-117.86,275290.00000000006,-36190.00000000006,-13.146136801191489,Desconto bom
60,169500.0,33.98,-118.09,185659.99999999997,-16159.99999999997,-8.704082731875456,Desconto ok
61,232800.0,37.91,-122.06,348155.0,-115355.0,-33.13323088854102,Desconto muito alto
62,81100.0,33.61,-117.72,141355.0,-60255.0,-42.62671996038343,Desconto muito alto
64,268300.0,34.44,-119.89,282715.0,-14415.0,-5.098774384097059,Desconto ok
65,100800.0,36.27,-119.78,153045.0,-52245.0,-34.13701852396354,Desconto muito alto
68,47500.0,35.37,-119.01,98610.0,-51110.0,-51.83044315992292,Desconto muito alto
69,239300.0,33.88,-117.94,260885.0,-21585.0,-8.27376046917224,Desconto ok
71,205500.0,37.7,-122.18,259544.99999999997,-54044.99999999997,-20.822978674218334,Desconto muito alto
72,100000.0,32.81,-116.95,157884.99999999997,-57884.99999999997,-36.66276087025365,Desconto muito alto
78,213100.0,37.94,-122.02,264415.0,-51315.0,-19.406992795416297,Desconto muito alto
80,146000.0,33.89,-118.07,156575.0,-10575.0,-6.753951780296982,Desconto ok
81,77200.0,39.91,-122.12,98245.0,-21045.0,-21.420937452287646,Desconto muito alto
83,101900.0,38.92,-120.02,120925.0,-19025.0,-15.73289228860864,Desconto muito alto
84,235600.0,34.33,-118.43,261670.00000000003,-26070.00000000003,-9.962930408529838,Desconto ok
86,191300.0,33.85,-118.08,255439.99999999997,-64139.99999999997,-25.109614782336354,Desconto muito alto
91,266600.0,32.67,-117.03,332880.00000000006,-66280.00000000006,-19.911079067531855,Desconto muito alto
92,112500.0,37.31,-121.86,187120.0,-74620.0,-39.87815305686191,Desconto muito alto
95,156300.0,38.0,-122.07,250254.99999999997,-93954.99999999997,-37.54370542047111,Desconto muito alto
98,105400.0,39.23,-123.2,166485.0,-61085.0,-36.690993182568995,Desconto muito alto
100,63500.0,35.4,-119.03,83574.99999999999,-20074.999999999985,-24.020341011067888,Desconto muito alto
101,41400.0,36.3,-119.21,56220.0,-14820.0,-26.360725720384202,Desconto muito alto
103,93500.0,38.01,-121.82,105170.0,-11670.0,-11.096320243415422,Desconto bom
106,82700.0,36.56,-119.73,89195.00000000001,-6495.000000000015,-7.281798307080009,Desconto ok
108,97500.0,33.98,-118.28,107725.00000000001,-10225.000000000015,-9.491761429566036,Desconto ok
111,85000.0,39.37,-121.03,105315.0,-20315.0,-19.289749798224374,Desconto muito alto
112,154800.0,32.76,-117.05,212835.0,-58035.0,-27.267601663260272,Desconto muito alto
114,83100.0,32.69,-117.1,128135.0,-45035.0,-35.14652514925664,Desconto muito alto
119,122000.00000000001,37.79,-122.2,155680.0,-33679.999999999985,-21.634121274409036,Desconto muito alto
125,101600.0,38.24,-120.72,108130.0,-6530.0,-6.039027097012855,Desconto ok
127,91300.0,38.95,-119.94,110514.99999999999,-19214.999999999985,-17.386780075102916,Desconto muito alto
