,longitude,latitude,housing_median_age,median_income,house_category,bedrooms_per_person,rooms_per_person,bedrooms_per_rooms,bedrooms_per_family,Pessoas_por_familia,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,valor_real,valor_previsto,diferenca,porcentagem,categoria_desconto
6958,-118.06,34.0,34.0,3.9243,60%-80%,0.353099730458221,1.9260685406237967,0.1833266693322671,1.026875699888018,2.908174692049272,1,0,0,0,0,219800.0,207055.0,12745.0,6.155369346308952,Cara
10557,-117.7,33.63,16.0,5.2325,60%-80%,0.4885245901639344,2.9036065573770493,0.16824751580849143,1.0923753665689149,2.2360703812316713,1,0,0,0,0,286800.0,317420.0,-30620.0,-9.646525108688804,Desconto ok
5151,-118.27,33.95,39.0,1.2091,20%_cheaper,0.31022530329289427,1.324956672443674,0.2341399607586658,1.0028011204481793,3.2324929971988796,1,0,0,0,0,97900.0,135570.0,-37670.0,-27.78638341816036,Desconto muito alto
3925,-118.56,34.18,36.0,4.8264,60%-80%,0.31154381084840055,1.8998609179415855,0.16398243045387995,0.8296296296296296,2.662962962962963,1,0,0,0,0,251000.0,215055.0,35945.0,16.71432889260887,Cara
4638,-118.29,34.06,46.0,2.1637,20%_expensive,0.37260677466863035,0.6476435935198822,0.5753268902785673,1.153933865450399,3.096921322690992,1,0,0,0,0,350000.0,157195.0,192805.0,122.65339228346959,Cara
19437,-121.01,37.69,20.0,2.48,20%-40%,0.494148244473342,2.1293888166449935,0.23206106870229007,1.0780141843971631,2.181560283687943,0,1,0,0,0,135600.0,100585.0,35015.0,34.81135358154794,Cara
17383,-120.41,34.96,9.0,4.5536,40%-60%,0.3835125448028674,2.4301075268817205,0.15781710914454278,1.0313253012048194,2.689156626506024,1,0,0,0,0,190100.0,253205.0,-63105.0,-24.922493631642347,Desconto muito alto
8714,-118.36,33.85,34.0,6.1133,20%_expensive,0.38703339882121807,2.1335952848722988,0.18139963167587478,1.2468354430379747,3.221518987341772,1,0,0,0,0,349300.0,310770.0,38530.0,12.398236638028123,Cara
10189,-117.96,33.87,37.0,4.7984,40%-60%,0.3116883116883117,1.5454545454545454,0.20168067226890757,0.8933002481389578,2.866004962779156,1,0,0,0,0,175800.0,201425.0,-25625.0,-12.721856770510115,Desconto bom
17782,-121.83,37.37,43.0,4.25,40%-60%,0.4027027027027027,2.218918918918919,0.1814859926918392,1.1037037037037036,2.740740740740741,1,0,0,0,0,209100.0,238725.0,-29625.0,-12.409676405906378,Desconto bom
20382,-118.85,34.14,16.0,8.1064,20%_expensive,0.38537970191625265,2.9162526614620297,0.1321489413482599,0.9696428571428571,2.5160714285714287,1,0,0,0,0,423400.0,405535.0,17865.0,4.4052917750625715,Cara
4112,-118.4,34.14,52.0,6.0678,20%_expensive,0.4722689075630252,2.8487394957983194,0.1657817109144543,1.0643939393939394,2.253787878787879,1,0,0,0,0,399300.0,333435.0,65865.0,19.75347519006703,Cara
1091,-121.81,39.71,18.0,2.0288,20%-40%,0.3531073446327684,1.7259887005649717,0.20458265139116202,0.8896797153024911,2.5195729537366547,0,1,0,0,0,116700.0,83860.0,32840.0,39.16050560457906,Cara
2009,-119.82,36.72,25.0,1.6435,20%_cheaper,0.3215590742996346,1.571863580998782,0.20457187136768695,1.037328094302554,3.225933202357564,0,1,0,0,0,52600.0,72680.0,-20080.0,-27.627958172812328,Desconto muito alto
4201,-118.24,34.11,39.0,2.2167,40%-60%,0.2997416020671835,0.9888027562446167,0.30313588850174217,1.045045045045045,3.4864864864864864,1,0,0,0,0,176700.0,173275.0,3425.0,1.9766267493868128,Cara
2631,-124.27,40.69,36.0,2.5179,20%_cheaper,0.44221105527638194,1.9673366834170853,0.2247765006385696,1.135483870967742,2.567741935483871,0,0,0,0,1,79000.0,178570.0,-99570.0,-55.75964607716861,Desconto muito alto
19076,-122.49,38.29,26.0,3.8,60%-80%,0.43005952380952384,2.568452380952381,0.16743916570104286,1.151394422310757,2.6772908366533863,1,0,0,0,0,242100.0,240940.0,1160.0,0.4814476633186685,Cara
9489,-123.18,39.23,18.0,2.125,40%-60%,0.4782608695652174,2.1130434782608694,0.22633744855967078,1.0185185185185186,2.1296296296296298,1,0,0,0,0,175000.0,158645.0,16355.0,10.309180875539727,Cara
